Nombre_CL,sciName,speciesCode,comName_en
Peuquito,Astur chilensis,bichaw4,Chilean Hawk
Salteador chico,Stercorarius parasiticus,parjae,Parasitic Jaeger
Albatros real del norte,Diomedea sanfordi,royalb3,Northern Royal Albatross
Albatros de Salvin,Thalassarche salvini,salalb1,Salvin's Albatross
Golondrina de mar de Wilson/fueguina,Oceanites oceanicus,wispet,Wilson's Storm-Petrel
Petrel gigante subantártico,Macronectes halli,norgip1,Northern Giant-Petrel
Petrel de barba blanca,Procellaria aequinoctialis,whcpet1,White-chinned Petrel
Fardela blanca,Ardenna creatopus,pifshe,Pink-footed Shearwater
Pato anteojillo,Speculanas specularis,speduc2,Spectacled Duck
Pilpilén austral,Haematopus leucopodus,magoys1,Magellanic Oystercatcher
Gaviotín sudamericano,Sterna hirundinacea,soater1,South American Tern
Quetru no volador,Tachyeres pteneres,flistd1,Flightless Steamer-Duck
Pingüino de Magallanes,Spheniscus magellanicus,magpen1,Magellanic Penguin
Chorlo cabezón,Hesperoburhinus superciliaris,petkne1,Peruvian Thick-knee
Golondrina de mar Pincoya,Oceanites pincoyae,pumstp1,Pincoya Storm-Petrel
Yunco de Magallanes,Pelecanoides magellani,madpet1,Magellanic Diving-Petrel
Dormilona de nuca rojiza,Muscisaxicola rufivertex,rngtyr1,Rufous-naped Ground-Tyrant
Golondrina de dorso negro,Pygochelidon cyanoleuca,bawswa1,Blue-and-white Swallow
Tortolita quiguagua,Columbina cruziana,crgdov1,Croaking Ground Dove
Pizarrita,Xenospingus concolor,slbfin3,Slender-billed Finch
Salteador chileno,Stercorarius chilensis,chisku1,Chilean Skua
Pingüino rey,Aptenodytes patagonicus,kinpen1,King Penguin
Petrel de collar gris,Pterodroma mollis,soppet1,Soft-plumaged Petrel
Minero austral,Geositta antarctica,shbmin1,Short-billed Miner
Canquén común,Chloephaga poliocephala,ashgoo1,Ashy-headed Goose
Caranca,Chloephaga hybrida,kelgoo1,Kelp Goose
Suri/Ñandú,Rhea pennata,lesrhe2,Lesser Rhea
Golondrina de mar negra,Hydrobates markhami,maspet,Markham's Storm-Petrel
Golondrina peruana,Progne murphyi,permar1,Peruvian Martin
Carpintero negro,Campephilus magellanicus,magwoo1,Magellanic Woodpecker
Paloma manchada,Patagioenas maculosa,spwpig3,Spot-winged Pigeon
Saca-tu-real,Pyrocephalus rubinus,verfly,Vermilion Flycatcher
Suirirí boreal,Tyrannus tyrannus,easkin,Eastern Kingbird
Corbatita del norte,Sporophila telasco,chtsee1,Chestnut-throated Seedeater
Matacaballos,Crotophaga sulcirostris,grbani,Groove-billed Ani
Vencejo chico,Aeronautes andecolus,andswi1,Andean Swift
Loica peruana,Leistes bellicosus,permea1,Peruvian Meadowlark
Gallina ciega chica,Quechuavis decussata,bawnig3,Tschudi's Nightjar
Mirlo de pico corto,Molothrus rufoaxillaris,scrcow1,Screaming Cowbird
Jilguero peruano,Spinus magellanicus,hoosis1,Hooded Siskin
Comesebo chico,Conirostrum cinereum,cincon1,Cinereous Conebill
Chorlo semipalmado,Charadrius semipalmatus,semplo,Semipalmated Plover
Playero zarapito,Calidris ferruginea,cursan,Curlew Sandpiper
Águila pescadora,Pandion haliaetus,osprey,Osprey
Cormorán de las rocas,Leucocarbo magellanicus,magcor1,Magellanic Cormorant
Tortolita boliviana,Metriopelia ceciliae,bfgdov1,Bare-faced Ground Dove
Tortolita cordillerana,Metriopelia melanoptera,bwgdov1,Black-winged Ground Dove
Chirihue cordillerano,Sicalis uropygialis,bryfin1,Bright-rumped Yellow-Finch
Chiricoca,Ochetorhynchus melanurus,crachi1,Crag Chilia
Cachudito de cresta blanca,Anairetes reguloides,pcttyr1,Pied-crested Tit-Tyrant
Comesebo de los tamarugales,Conirostrum tamarugense,tamcon1,Tamarugo Conebill
Chirihue verdoso,Sicalis olivascens,gryfin3,Greenish Yellow-Finch
Golondrina grande,Petrochelidon pyrrhonota,cliswa,Cliff Swallow
Perico cordillerano,Psilopsiagon aurifrons,moupar2,Mountain Parakeet
Canastero del norte,Asthenes arequipae,crbcan4,Dark-winged Canastero
Zorzal negro,Turdus chiguanco,chithr1,Chiguanco Thrush
Jilguero cordillerano,Spinus uropygialis,yersis1,Yellow-rumped Siskin
Golondrina bermeja,Hirundo rustica,barswa,Barn Swallow
Chirihue azafrán,Sicalis flaveola,saffin,Saffron Finch
Cometocino del norte,Phrygilus atriceps,bhsfin1,Black-hooded Sierra Finch
Picaflor de la puna,Oreotrochilus estella,andhil3,Andean Hillstar
Plebeyo,Geospizopsis plebejus,absfin1,Ash-breasted Sierra Finch
Pollito de mar tricolor,Phalaropus tricolor,wilpha,Wilson's Phalarope
Playero de patas largas,Calidris himantopus,stisan,Stilt Sandpiper
Playero pectoral,Calidris melanotos,pecsan,Pectoral Sandpiper
Canquén colorado,Chloephaga rubidiceps,ruhgoo1,Ruddy-headed Goose
Bandurrilla de Arica,Upucerthia albigula,whtear1,White-throated Earthcreeper
Naranjero,Rauenia bonariensis,baytan3,Blue-and-yellow Tanager
Caití,Recurvirostra andina,andavo1,Andean Avocet
Chorlo de la puna,Anarhynchus alticola,punplo1,Puna Plover
Parina grande,Phoenicoparrus andinus,andfla2,Andean Flamingo
Golondrina de los riscos,Orochelidon andecola,andswa2,Andean Swallow
Aguilucho chico,Buteo albigula,whthaw1,White-throated Hawk
Comesebo negro,Diglossa brunneiventris,bktflo1,Black-throated Flowerpiercer
Perdiz cordillerana,Nothoprocta ornata,orntin1,Ornate Tinamou
Cachudito del norte,Anairetes flavirostris,ybttyr1,Yellow-billed Tit-Tyrant
Pitajo gris,Ochthoeca leucophrys,wbctyr1,White-browed Chat-Tyrant
Semillero,Catamenia analis,batsee1,Band-tailed Seedeater
Pitío del norte,Colaptes rupicola,andfli1,Andean Flicker
Churrete de alas cremas,Cinclodes albiventris,crwcin1,Cream-winged Cinclodes
Dormilona gigante,Muscisaxicola albifrons,wfgtyr1,White-fronted Ground-Tyrant
Comesebo gigante,Conirostrum binghami,giacon1,Giant Conebill
Pato puna,Spatula puna,puntea1,Puna Teal
Pato rana de pico ancho,Oxyura ferruginea,andduc1,Andean Duck
Tagua gigante,Fulica gigantea,giacoo1,Giant Coot
Churrete de alas blancas,Cinclodes atacamensis,whwcin1,White-winged Cinclodes
Colegial del norte,Lessonia oreas,andneg1,Andean Negrito
Pitajo rojizo,Ochthoeca oenanthoides,dorcht1,d'Orbigny's Chat-Tyrant
Jilguero negro,Spinus atratus,blasis1,Black Siskin
